                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.42793,                0.27575,                0.88335,                0.95855,                      1,                  0.995,                 0.8823,                0.57876,                0.26843,                 1.0096,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                  0.418,                0.26866,                0.87523,                0.95657,                      1,                  0.995,                0.87775,                0.56812,                0.26124,                 1.0053,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.41638,                0.27885,                0.87959,                0.95498,                      1,                  0.995,                0.87361,                0.56979,                0.26527,                 1.0097,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.40844,                0.25872,                0.85137,                0.95801,                      1,                  0.995,                0.87381,                0.58303,                0.26887,                 1.0186,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.40283,                0.26072,                0.88347,                0.96045,                      1,                  0.995,                0.87628,                0.59323,                0.26103,                 1.0287,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.39178,                0.25273,                 0.8662,                0.96076,                      1,                  0.995,                0.87806,                0.59439,                0.26878,                 1.0334,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.39139,                0.25023,                0.85731,                0.96054,                      1,                  0.995,                0.88221,                0.59236,                0.27214,                 1.0279,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.39012,                0.24523,                0.86099,                0.96122,                      1,                  0.995,                0.87796,                 0.5938,                0.27061,                  1.022,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.39762,                0.25137,                0.84382,                 0.9617,                      1,                  0.995,                0.87814,                0.59433,                 0.2716,                 1.0192,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.39222,                0.25132,                0.86253,                0.96223,                      1,                  0.995,                0.87801,                 0.6013,                 0.2719,                 1.0205,             1.4209e-05,             1.4209e-05,             1.4209e-05
